Age,Gender,Degree,Branch,CGPA,Internships,Projects,Coding_Skills,Communication_Skills,Aptitude_Test_Score,Soft_Skills_Rating,Certifications,Backlogs,Career
20,Female,MCA,Civil,5.82,1,2,2,5,66,5,1,1,Full Stack Developer
24,Male,MCA,IT,6.93,0,4,7,7,57,7,2,1,Backend Developer
22,Male,B.Sc,ME,8.16,1,4,5,7,77,5,2,0,Frontend Developer
18,Male,B.Sc,ME,7.49,0,4,6,6,58,5,2,0,Software Engineer
21,Female,MCA,ME,6.49,1,3,5,5,49,8,1,3,Full Stack Developer
23,Female,MCA,ECE,5.58,1,3,4,5,53,7,1,1,Backend Developer
18,Female,B.Tech,Civil,8.06,2,5,8,4,76,6,2,0,Software Engineer
18,Male,B.Tech,ME,6.02,1,3,5,4,69,6,2,1,Data Analyst
23,Female,BCA,IT,5.94,0,3,6,7,61,5,2,1,Software Engineer
21,Female,B.Tech,ME,8.03,0,4,6,7,72,6,2,0,Software Engineer
23,Female,MCA,IT,8.02,1,5,8,4,85,5,3,0,Machine Learning Engineer
24,Male,B.Sc,ME,8.55,3,5,7,8,73,7,2,0,Frontend Developer
21,Female,MCA,ECE,7.55,2,4,7,4,81,7,2,0,Software Engineer
21,Female,B.Tech,IT,6.16,0,4,7,5,65,4,2,1,Backend Developer
22,Female,B.Tech,CSE,6.39,1,4,8,6,63,7,2,1,Backend Developer
18,Male,B.Tech,IT,6.52,1,3,5,6,63,2,2,0,Software Engineer
18,Male,B.Sc,ME,6.81,1,3,3,5,73,4,1,0,Data Analyst
20,Female,BCA,IT,6.26,0,4,7,4,71,5,2,2,Software Engineer
20,Female,B.Tech,CSE,6.14,0,4,6,5,46,4,2,3,Software Engineer
18,Female,BCA,ECE,7.24,2,5,8,7,85,5,3,0,Backend Developer
23,Female,MCA,Civil,7.24,0,3,4,3,79,5,1,0,Full Stack Developer
24,Female,B.Sc,IT,6.89,0,3,4,6,69,6,1,0,Software Engineer
22,Male,MCA,ECE,4.5,1,1,1,6,53,6,0,1,Backend Developer
18,Male,BCA,IT,6.09,0,4,6,5,47,5,2,2,Software Engineer
20,Female,B.Tech,IT,6.57,1,4,8,6,79,8,2,1,Backend Developer
22,Male,B.Tech,IT,7.56,1,4,5,4,65,6,2,2,Software Engineer
19,Male,MCA,ECE,6.53,0,2,2,4,69,6,1,1,Backend Developer
19,Female,BCA,ECE,5.6,1,3,4,8,38,5,1,1,Backend Developer
20,Female,B.Sc,Civil,5.65,0,2,3,8,53,5,1,2,Data Analyst
24,Female,BCA,IT,6.6,0,4,7,6,62,5,2,0,Backend Developer
18,Male,B.Tech,ECE,7.18,1,4,7,3,71,5,2,0,Software Engineer
19,Female,BCA,CSE,8.72,1,5,8,7,59,8,2,0,Machine Learning Engineer
20,Female,B.Sc,IT,6.83,1,5,9,5,72,7,3,0,Backend Developer
20,Male,BCA,IT,8.88,3,5,9,3,77,4,3,1,Machine Learning Engineer
20,Male,B.Sc,CSE,7.68,2,5,10,5,82,5,3,1,Backend Developer
18,Male,BCA,ECE,6.36,2,4,7,6,47,5,2,1,Backend Developer
24,Male,MCA,ECE,8.69,1,5,8,9,85,6,3,0,Machine Learning Engineer
24,Female,BCA,Civil,5.71,1,3,4,6,45,6,1,2,Full Stack Developer
24,Female,MCA,Civil,8.36,1,5,7,3,70,5,2,1,Software Engineer
21,Male,B.Sc,ME,5.8,0,3,5,4,50,6,1,1,Data Analyst
20,Male,BCA,IT,7.47,0,3,4,5,75,8,1,2,Software Engineer
21,Male,B.Tech,CSE,8.31,0,4,6,3,90,3,2,0,Software Engineer
21,Female,B.Sc,IT,6.7,0,4,7,6,74,8,2,2,Backend Developer
19,Male,B.Sc,ME,5.27,0,3,4,3,41,6,1,2,Data Analyst
23,Female,MCA,ME,7.84,0,3,2,6,79,6,1,0,Full Stack Developer
20,Male,BCA,Civil,6.41,0,3,3,7,58,7,1,1,Full Stack Developer
21,Female,B.Sc,ME,6.89,0,3,4,5,53,7,1,1,Data Analyst
19,Male,MCA,ME,8.21,1,4,6,7,75,7,2,0,Frontend Developer
21,Female,B.Sc,IT,7.67,2,5,8,8,67,7,2,0,Full Stack Developer
22,Male,BCA,ECE,5.77,0,3,6,5,63,7,2,1,Backend Developer
22,Female,B.Sc,IT,6.32,0,4,6,3,68,7,2,1,Software Engineer
20,Female,B.Tech,Civil,7.55,0,3,4,8,66,6,1,0,Data Analyst
19,Male,MCA,CSE,5.18,1,3,5,6,50,6,1,1,Software Engineer
22,Male,MCA,ECE,7.08,0,3,3,5,66,8,1,0,Backend Developer
20,Female,MCA,IT,5.93,0,3,5,4,67,4,2,2,Software Engineer
21,Female,MCA,ECE,7.05,3,4,7,6,78,5,2,0,Backend Developer
21,Female,BCA,Civil,7.48,0,4,5,5,78,7,2,1,Full Stack Developer
20,Male,BCA,ME,5.96,1,3,4,6,65,4,1,1,Full Stack Developer
19,Male,BCA,Civil,7.4,1,4,6,4,78,5,2,1,Software Engineer
18,Male,B.Sc,Civil,6.37,0,3,3,5,63,6,1,3,Data Analyst
23,Female,MCA,ME,4.5,1,2,4,3,43,6,1,1,Full Stack Developer
24,Female,MCA,Civil,7.71,1,4,6,6,89,6,2,2,Software Engineer
18,Male,B.Sc,ME,7.06,1,4,6,4,59,7,2,1,Software Engineer
23,Female,B.Sc,CSE,7.06,3,5,8,5,57,7,2,1,Backend Developer
20,Female,BCA,ECE,6.93,1,4,6,8,72,6,2,0,Frontend Developer
23,Male,MCA,ECE,8.67,0,4,6,4,73,7,2,0,Software Engineer
20,Female,MCA,CSE,7.47,1,5,8,4,72,6,2,2,Software Engineer
20,Female,MCA,CSE,7.9,1,5,8,6,69,6,2,0,Backend Developer
22,Male,B.Sc,CSE,8.31,1,5,9,4,73,4,3,1,Software Engineer
20,Female,B.Tech,CSE,6.1,0,4,6,7,68,6,2,1,Software Engineer
24,Female,MCA,CSE,7.87,1,4,7,9,65,6,2,1,Backend Developer
21,Female,MCA,IT,6.25,2,4,7,5,44,6,2,1,Backend Developer
19,Male,MCA,ME,6.83,1,4,6,5,60,8,2,2,Software Engineer
24,Male,B.Sc,Civil,7.49,1,4,6,4,71,5,2,1,Software Engineer
24,Female,B.Tech,CSE,6.09,0,3,3,7,55,7,1,2,Software Engineer
22,Male,B.Sc,Civil,6.66,0,2,2,4,57,9,1,2,Data Analyst
22,Female,B.Sc,Civil,7.95,2,4,5,5,76,6,2,0,Data Analyst
20,Male,MCA,ECE,6.77,0,3,4,7,51,5,1,0,Backend Developer
23,Male,B.Sc,Civil,6.14,0,2,2,7,69,7,1,1,Data Analyst
23,Male,B.Tech,IT,6.77,0,4,8,7,73,5,2,0,Full Stack Developer
21,Female,B.Sc,Civil,7.17,0,3,4,3,74,5,1,0,Data Analyst
22,Male,MCA,ME,6.69,0,4,6,6,84,5,2,0,Software Engineer
18,Male,BCA,CSE,8.43,1,6,10,3,94,5,3,0,Machine Learning Engineer
18,Female,B.Sc,Civil,7.03,0,3,2,6,65,5,1,1,Data Analyst
22,Female,BCA,ECE,6.77,1,3,5,9,81,5,2,0,Frontend Developer
23,Male,MCA,Civil,7.34,0,4,6,6,76,5,2,1,Software Engineer
22,Male,B.Tech,ECE,6.72,0,3,3,5,89,8,1,0,Backend Developer
21,Male,B.Tech,CSE,7.58,1,5,8,7,75,4,2,0,Full Stack Developer
24,Male,BCA,IT,7.39,2,4,7,6,67,7,2,0,Backend Developer
18,Female,MCA,ECE,7.09,1,4,7,3,81,6,2,2,Software Engineer
20,Male,B.Sc,ECE,6.88,0,3,4,8,72,3,1,0,Backend Developer
24,Female,B.Tech,Civil,8.0,0,4,5,4,96,5,2,0,Data Analyst
18,Female,B.Tech,ECE,7.29,1,3,2,2,80,4,1,1,Backend Developer
24,Female,MCA,CSE,8.7,0,4,5,6,87,4,2,0,Software Engineer
20,Female,B.Sc,Civil,6.84,0,3,4,7,70,5,1,0,Data Analyst
19,Male,B.Sc,IT,5.88,0,3,6,7,50,7,2,1,Software Engineer
23,Male,B.Tech,Civil,6.96,0,4,6,4,79,7,2,2,Software Engineer
21,Male,BCA,ME,6.8,1,4,8,5,52,5,2,0,Software Engineer
19,Male,MCA,Civil,6.92,0,3,4,6,71,5,1,0,Full Stack Developer
23,Male,BCA,ME,6.53,0,3,4,6,63,5,1,0,Full Stack Developer
22,Female,B.Tech,ME,6.59,1,4,7,7,71,6,2,0,Frontend Developer
24,Male,MCA,Civil,7.09,0,4,6,5,71,4,2,2,Software Engineer
21,Female,BCA,CSE,6.27,1,3,5,3,63,4,2,2,Software Engineer
20,Female,MCA,IT,6.8,0,4,6,5,72,5,2,0,Software Engineer
19,Male,B.Sc,IT,7.55,0,4,5,6,72,5,2,0,Software Engineer
18,Female,BCA,CSE,7.69,3,5,9,4,98,6,3,0,Software Engineer
20,Male,B.Sc,IT,5.79,0,3,6,5,69,6,2,1,Software Engineer
19,Female,BCA,IT,6.09,0,3,5,5,70,6,2,2,Software Engineer
18,Female,B.Sc,IT,6.22,1,3,3,5,60,4,1,1,Software Engineer
23,Male,B.Tech,ECE,7.09,0,3,3,4,65,4,1,0,Backend Developer
23,Female,MCA,IT,7.36,1,3,4,4,70,5,1,0,Software Engineer
21,Male,BCA,Civil,5.69,0,2,3,8,56,9,1,1,Full Stack Developer
18,Male,MCA,Civil,7.66,1,4,5,6,53,4,1,0,Full Stack Developer
20,Male,B.Sc,ME,7.39,0,4,5,7,68,5,2,2,Data Analyst
23,Male,BCA,IT,8.06,2,6,10,4,93,5,3,1,Machine Learning Engineer
23,Male,BCA,Civil,8.17,1,5,7,8,86,6,2,0,Frontend Developer
19,Female,B.Tech,IT,6.16,0,5,9,8,40,5,2,1,Full Stack Developer
19,Female,MCA,CSE,6.54,1,4,7,6,64,8,2,0,Backend Developer
24,Male,B.Sc,ECE,7.58,0,3,4,6,75,5,1,0,Backend Developer
20,Female,B.Tech,ECE,6.58,1,3,5,7,71,5,2,0,Frontend Developer
22,Male,B.Tech,ECE,6.11,0,3,5,7,58,7,1,2,Backend Developer
22,Female,B.Sc,Civil,5.65,0,3,6,8,40,4,2,2,Data Analyst
23,Male,BCA,Civil,7.66,1,3,4,6,86,6,2,1,Full Stack Developer
23,Female,BCA,ECE,6.63,0,4,6,4,58,4,2,0,Software Engineer
19,Female,BCA,IT,7.57,3,5,9,5,80,4,3,1,Backend Developer
21,Female,MCA,IT,8.92,1,5,7,8,69,7,2,0,Backend Developer
22,Female,B.Sc,IT,7.19,0,4,6,4,60,7,2,2,Software Engineer
21,Female,B.Tech,CSE,6.86,0,4,8,7,84,4,3,0,Full Stack Developer
24,Female,MCA,Civil,7.69,0,3,2,6,91,5,1,1,Full Stack Developer
24,Female,B.Tech,ME,6.74,2,4,6,5,69,6,2,0,Software Engineer
20,Male,B.Tech,Civil,6.93,1,3,5,5,59,3,1,1,Data Analyst
18,Female,B.Sc,ME,7.02,0,3,4,6,68,6,1,0,Data Analyst
24,Female,B.Sc,ECE,6.28,0,3,4,6,53,3,1,1,Backend Developer
24,Male,B.Sc,IT,7.43,2,5,8,5,79,6,2,0,Backend Developer
18,Male,MCA,CSE,8.3,3,6,10,4,82,5,3,0,Machine Learning Engineer
23,Male,MCA,ECE,8.37,2,5,8,6,85,6,3,0,Machine Learning Engineer
18,Male,B.Tech,Civil,7.17,0,4,6,5,81,5,2,0,Software Engineer
24,Male,MCA,Civil,7.33,1,4,6,4,56,5,2,2,Software Engineer
23,Female,B.Tech,IT,6.39,0,4,6,4,47,6,2,1,Software Engineer
23,Male,B.Sc,ECE,5.77,0,2,3,7,62,6,1,2,Backend Developer
24,Female,B.Tech,ECE,8.53,3,5,8,7,79,2,2,0,Machine Learning Engineer
20,Male,B.Sc,Civil,5.76,0,3,4,6,67,8,1,3,Data Analyst
22,Female,MCA,ECE,6.46,0,3,4,7,60,6,1,2,Backend Developer
24,Female,BCA,ECE,5.9,0,2,3,5,51,6,1,1,Backend Developer
21,Male,MCA,ME,5.73,0,2,3,3,49,6,1,1,Full Stack Developer
23,Female,B.Sc,CSE,8.45,1,4,6,5,99,7,2,0,Software Engineer
21,Female,B.Tech,IT,5.24,1,3,5,5,49,5,1,1,Software Engineer
21,Female,MCA,CSE,6.88,0,4,6,7,62,5,2,0,Software Engineer
18,Female,B.Sc,CSE,6.65,1,4,6,6,59,4,2,0,Software Engineer
19,Male,B.Tech,IT,6.7,2,4,6,5,75,6,2,0,Software Engineer
20,Female,B.Tech,Civil,6.62,0,3,3,5,75,6,1,2,Data Analyst
22,Male,B.Sc,CSE,5.81,0,3,6,5,36,3,1,2,Software Engineer
18,Male,B.Sc,Civil,6.9,0,3,4,3,59,4,1,0,Data Analyst
21,Female,MCA,IT,7.49,1,5,8,4,77,6,2,1,Software Engineer
18,Male,MCA,ECE,7.67,0,4,6,8,81,6,2,1,Data Analyst
21,Female,B.Tech,IT,8.49,1,5,7,3,80,5,2,0,Software Engineer
21,Female,BCA,CSE,8.0,2,6,10,5,84,9,3,0,Machine Learning Engineer
23,Male,B.Sc,CSE,6.66,1,4,7,8,52,5,2,0,Backend Developer
21,Female,B.Sc,CSE,7.72,0,3,4,5,79,6,1,2,Software Engineer
23,Male,BCA,IT,7.64,3,5,10,5,65,6,3,1,Backend Developer
20,Male,BCA,Civil,7.97,0,2,1,5,72,6,1,0,Full Stack Developer
22,Male,MCA,CSE,9.05,1,5,8,6,88,8,3,0,Machine Learning Engineer
19,Male,MCA,CSE,6.82,0,4,7,6,82,6,2,1,Backend Developer
21,Male,B.Tech,ECE,6.37,0,3,4,6,82,4,2,3,Backend Developer
19,Male,B.Sc,ECE,9.51,1,5,7,4,89,4,2,1,Software Engineer
19,Female,BCA,ME,6.24,2,4,7,8,57,6,2,1,Frontend Developer
21,Female,MCA,ME,6.76,0,3,4,5,68,4,1,2,Full Stack Developer
18,Male,B.Sc,Civil,5.6,0,2,3,9,68,5,1,1,Data Analyst
20,Male,MCA,ME,5.99,0,3,4,7,53,7,1,2,Full Stack Developer
18,Male,B.Tech,CSE,6.69,1,3,5,7,71,5,2,0,Frontend Developer
19,Female,B.Tech,CSE,7.39,1,4,7,7,71,7,2,0,Backend Developer
19,Female,B.Sc,ME,7.34,2,4,6,5,61,5,2,1,Software Engineer
20,Male,B.Tech,ME,7.35,0,4,6,5,73,4,2,0,Software Engineer
24,Female,B.Sc,CSE,6.96,1,5,10,3,84,3,3,1,Software Engineer
19,Male,BCA,Civil,7.44,2,4,7,6,79,4,2,1,Software Engineer
22,Female,BCA,ME,5.61,0,2,3,6,56,4,1,2,Full Stack Developer
22,Female,MCA,ME,7.32,1,5,8,4,63,6,2,1,Software Engineer
24,Male,B.Tech,Civil,6.96,0,3,5,5,63,6,2,0,Data Analyst
24,Female,BCA,ECE,5.6,0,2,3,7,67,5,1,3,Backend Developer
19,Male,B.Tech,ECE,6.08,0,3,4,4,56,8,1,3,Backend Developer
24,Male,BCA,Civil,6.09,0,3,4,7,74,7,1,1,Full Stack Developer
20,Male,B.Tech,ECE,6.42,0,3,4,8,50,5,1,2,Backend Developer
20,Male,B.Sc,ME,7.05,1,4,5,7,63,6,2,0,Frontend Developer
21,Male,B.Tech,Civil,5.98,0,3,4,7,68,7,1,3,Data Analyst
24,Female,B.Tech,CSE,5.89,2,3,5,5,60,5,2,1,Software Engineer
18,Female,BCA,Civil,8.79,1,5,7,4,100,5,3,0,Software Engineer
20,Male,B.Tech,Civil,7.69,0,3,3,4,96,5,1,2,Data Analyst
22,Female,B.Sc,CSE,7.22,2,5,8,6,75,9,2,0,Backend Developer
21,Female,MCA,CSE,6.54,0,3,4,4,60,5,1,1,Software Engineer
22,Female,MCA,IT,7.32,1,5,9,5,69,4,3,2,Backend Developer
21,Female,BCA,IT,6.34,2,4,7,3,47,5,2,1,Software Engineer
24,Male,BCA,Civil,6.91,1,4,8,6,59,5,2,0,Software Engineer
20,Male,BCA,Civil,5.53,0,2,3,4,59,3,1,2,Full Stack Developer
21,Male,BCA,CSE,7.11,0,4,6,3,88,6,2,1,Software Engineer
21,Male,MCA,IT,6.33,0,4,7,7,73,6,2,2,Backend Developer
22,Male,MCA,ME,6.11,0,3,3,5,59,6,1,1,Full Stack Developer
20,Female,BCA,Civil,5.71,0,2,1,5,55,6,0,1,Full Stack Developer
22,Male,B.Tech,CSE,6.91,1,4,6,6,56,6,2,0,Software Engineer
22,Female,MCA,ECE,6.35,1,4,6,7,76,7,2,1,Frontend Developer
23,Male,B.Tech,CSE,7.28,0,4,6,5,68,7,2,2,Software Engineer
20,Male,MCA,ECE,6.45,0,3,5,5,55,6,1,1,Backend Developer
24,Male,B.Tech,ME,6.99,1,4,6,4,69,7,2,0,Software Engineer
22,Female,MCA,IT,6.26,0,4,6,5,88,7,2,3,Software Engineer
20,Male,BCA,ME,6.02,0,3,4,6,64,3,1,2,Full Stack Developer
20,Male,BCA,ECE,7.23,1,5,8,4,67,5,2,0,Software Engineer
18,Male,B.Sc,CSE,7.9,3,5,9,6,78,6,3,0,Backend Developer
24,Male,B.Tech,ME,9.19,1,5,7,5,84,4,2,0,Software Engineer
19,Male,BCA,ECE,8.24,1,4,6,6,84,4,2,0,Software Engineer
23,Male,BCA,ME,6.78,0,2,2,5,71,5,1,0,Full Stack Developer
19,Female,MCA,IT,7.18,1,4,7,5,67,5,2,0,Backend Developer
18,Male,B.Sc,Civil,7.49,0,4,5,4,73,5,2,0,Data Analyst
21,Male,B.Sc,IT,8.73,1,5,7,5,72,5,2,0,Backend Developer
18,Female,B.Sc,ECE,7.32,2,5,8,6,85,6,3,0,Backend Developer
22,Female,B.Sc,IT,6.71,0,4,8,5,80,6,3,0,Backend Developer
19,Female,BCA,CSE,5.14,0,3,4,7,43,7,1,1,Software Engineer
24,Male,B.Tech,CSE,6.41,0,3,5,7,52,5,1,2,Software Engineer
18,Female,BCA,IT,6.64,1,4,6,5,55,7,2,2,Software Engineer
21,Female,B.Sc,CSE,6.69,1,4,8,7,77,6,2,0,Full Stack Developer
21,Female,B.Sc,IT,4.62,0,2,2,4,46,7,1,1,Software Engineer
18,Male,BCA,IT,5.94,0,3,6,6,47,8,2,1,Software Engineer
22,Male,BCA,ME,5.37,0,3,5,3,38,3,1,2,Full Stack Developer
20,Female,BCA,Civil,5.28,0,2,3,5,50,4,1,2,Full Stack Developer
21,Male,BCA,CSE,5.2,0,3,5,6,51,7,1,3,Software Engineer
24,Male,B.Tech,IT,7.23,2,4,7,6,85,7,2,0,Backend Developer
23,Male,B.Sc,Civil,6.47,1,3,5,4,69,5,2,2,Data Analyst
20,Male,BCA,Civil,6.86,0,4,6,6,75,7,2,2,Software Engineer
24,Female,B.Sc,IT,8.34,2,5,7,4,72,5,2,0,Software Engineer
20,Male,B.Tech,ECE,7.46,1,4,5,3,80,5,2,2,Backend Developer
19,Female,MCA,ME,5.9,0,3,5,3,71,5,2,2,Full Stack Developer
18,Female,B.Tech,ME,5.81,1,2,3,7,45,5,1,1,Data Analyst
18,Female,MCA,CSE,7.77,1,5,8,3,80,6,3,1,Software Engineer
23,Male,BCA,IT,5.32,0,2,3,2,61,5,1,1,Software Engineer
23,Female,MCA,IT,7.46,2,5,10,5,81,7,3,0,Backend Developer
21,Female,BCA,IT,6.46,0,3,5,7,35,5,1,2,Software Engineer
20,Female,MCA,ECE,6.43,1,3,5,4,74,7,2,2,Backend Developer
20,Male,B.Sc,ECE,7.93,2,5,8,7,74,6,2,0,Backend Developer
22,Female,BCA,ME,7.19,2,5,8,4,76,7,2,1,Software Engineer
22,Female,B.Sc,IT,7.68,2,4,7,5,73,6,2,0,Backend Developer
22,Female,B.Sc,ECE,6.74,0,3,5,6,75,5,2,2,Backend Developer
24,Male,MCA,Civil,9.32,2,5,6,6,90,5,2,0,Software Engineer
19,Male,MCA,ME,7.29,0,4,5,6,70,6,2,0,Full Stack Developer
19,Male,BCA,ME,7.42,2,4,7,5,85,6,2,2,Software Engineer
19,Male,B.Tech,CSE,6.4,0,3,4,8,62,5,1,3,Software Engineer
23,Female,B.Sc,ME,6.82,1,4,6,8,79,5,2,0,Frontend Developer
18,Female,MCA,CSE,7.19,2,5,10,8,81,6,3,0,Full Stack Developer
22,Male,BCA,ECE,6.64,0,3,5,6,80,3,2,2,Backend Developer
23,Male,BCA,ME,6.71,0,4,6,7,51,6,2,0,Software Engineer
24,Male,MCA,ECE,7.64,1,4,5,5,81,5,2,0,Backend Developer
19,Female,B.Tech,Civil,7.2,0,3,4,7,74,8,1,2,Data Analyst
24,Female,BCA,ME,8.51,2,5,9,5,74,6,3,0,Software Engineer
24,Male,B.Sc,CSE,6.69,0,4,7,6,56,6,2,0,Backend Developer
21,Female,BCA,ME,6.32,0,4,6,7,61,5,2,2,Full Stack Developer
23,Male,BCA,CSE,6.94,1,4,7,7,69,4,2,1,Backend Developer
23,Male,MCA,ME,7.61,3,5,8,6,62,6,2,0,Software Engineer
21,Male,BCA,Civil,8.6,3,5,7,6,83,6,2,0,Software Engineer
20,Male,BCA,ECE,5.29,0,2,3,4,46,6,1,1,Backend Developer
23,Female,MCA,ME,6.66,0,3,5,6,71,6,2,0,Full Stack Developer
21,Female,MCA,ME,6.72,2,4,7,3,61,6,2,2,Software Engineer
22,Male,BCA,CSE,6.23,0,4,8,8,57,6,2,2,Full Stack Developer
19,Female,BCA,Civil,6.93,0,3,4,5,73,6,1,0,Full Stack Developer
22,Male,MCA,ECE,7.91,1,4,6,4,81,7,2,0,Software Engineer
19,Male,B.Sc,ME,7.52,2,5,8,5,74,6,2,0,Software Engineer
24,Male,BCA,ECE,7.68,0,4,6,6,89,7,2,2,Software Engineer
22,Female,B.Sc,ECE,6.02,1,3,5,8,70,6,2,3,Frontend Developer
19,Male,B.Tech,ECE,5.24,0,2,2,6,41,4,1,1,Backend Developer
22,Male,B.Sc,Civil,5.9,0,2,3,5,55,5,1,1,Data Analyst
22,Female,B.Sc,Civil,6.24,0,2,1,4,73,6,1,1,Data Analyst
20,Female,B.Sc,CSE,7.3,2,4,7,5,63,5,2,1,Backend Developer
19,Female,B.Sc,ECE,8.9,2,6,10,8,100,5,3,0,Backend Developer
18,Male,MCA,IT,6.1,0,4,6,6,60,5,2,2,Software Engineer
18,Male,MCA,CSE,7.71,0,4,5,4,75,4,2,0,Software Engineer
22,Male,MCA,Civil,7.89,0,4,5,4,88,4,2,1,Full Stack Developer
24,Female,B.Tech,ECE,6.64,0,2,2,4,56,5,1,0,Backend Developer
21,Female,B.Sc,IT,6.83,0,4,8,6,50,6,2,0,Backend Developer
23,Male,B.Tech,ME,7.36,0,4,6,7,71,6,2,2,Software Engineer
21,Female,BCA,Civil,6.31,1,3,5,7,58,4,1,3,Frontend Developer
19,Female,MCA,CSE,5.55,0,3,4,7,53,4,1,2,Software Engineer
18,Female,MCA,ME,7.31,2,5,8,4,65,5,2,0,Software Engineer
18,Male,BCA,CSE,7.33,1,4,7,6,82,5,2,2,Backend Developer
21,Female,MCA,ECE,8.52,1,5,8,6,65,6,2,0,Machine Learning Engineer
22,Female,BCA,Civil,6.93,0,3,4,7,72,5,1,0,Full Stack Developer
22,Female,B.Sc,CSE,8.03,2,5,8,7,69,5,2,0,Full Stack Developer
24,Female,B.Tech,ECE,8.03,1,4,5,7,93,5,2,0,Frontend Developer
24,Male,MCA,IT,6.82,2,4,6,8,78,4,2,1,Frontend Developer
19,Female,B.Sc,ECE,6.57,1,3,3,8,73,4,1,2,Backend Developer
23,Male,B.Tech,ECE,6.2,1,3,5,3,83,3,2,1,Backend Developer
24,Male,BCA,ME,6.7,0,3,4,4,65,5,1,0,Full Stack Developer
22,Male,B.Tech,Civil,7.8,1,4,7,7,67,4,2,0,Frontend Developer
24,Female,B.Tech,ME,7.24,0,3,3,5,85,3,1,1,Data Analyst
19,Male,B.Tech,IT,4.76,0,2,3,8,40,5,1,1,Software Engineer
18,Male,BCA,IT,6.49,1,3,4,6,52,5,1,2,Software Engineer
19,Female,B.Sc,CSE,8.03,1,5,8,5,77,4,2,0,Backend Developer
18,Female,B.Tech,ECE,6.53,0,3,3,7,60,6,1,0,Backend Developer
23,Female,MCA,ECE,6.64,2,3,5,4,69,4,2,2,Backend Developer
18,Female,MCA,ECE,7.83,0,4,6,4,86,6,2,0,Software Engineer
19,Female,BCA,ME,6.18,1,3,4,5,59,6,1,1,Full Stack Developer
24,Female,B.Tech,IT,5.35,1,3,5,5,57,6,1,3,Software Engineer
18,Male,BCA,ECE,8.05,2,5,7,4,81,2,2,0,Software Engineer
20,Female,B.Tech,ECE,6.78,1,3,5,1,70,5,2,2,Backend Developer
20,Male,BCA,CSE,7.79,1,5,10,6,91,7,3,1,Backend Developer
18,Female,B.Tech,ME,6.9,0,4,7,6,69,7,2,0,Software Engineer
18,Female,BCA,ME,7.2,2,4,6,6,68,4,2,0,Software Engineer
23,Female,B.Tech,Civil,6.04,0,3,4,4,54,6,1,1,Data Analyst
19,Male,B.Tech,IT,7.21,2,4,6,6,66,7,2,0,Software Engineer
18,Male,B.Tech,ME,6.97,0,3,4,7,56,8,1,0,Data Analyst
20,Female,B.Tech,ECE,9.54,3,5,8,4,94,5,3,0,Machine Learning Engineer
19,Female,BCA,Civil,7.61,1,4,7,6,89,6,2,0,Software Engineer
23,Male,MCA,ECE,5.8,0,2,2,8,53,4,1,2,Backend Developer
23,Male,MCA,ECE,7.45,0,4,6,5,78,5,2,0,Software Engineer
